pair_id,set_type,gt_x,gt_y,gt_present_in_top50,gt_rank_in_pool,win_x,win_y,win_error,gt_corr_score,win_corr_score,diff_corr_score,gt_psr,win_psr,diff_psr,gt_phase_residual,win_phase_residual,diff_phase_residual,gt_phase_penalty,win_phase_penalty,diff_phase_penalty,gt_context_32,win_context_32,diff_context_32,gt_context_64,win_context_64,diff_context_64,gt_context_128,win_context_128,diff_context_128,gt_context_combined,win_context_combined,diff_context_combined,gt_ssd,win_ssd,diff_ssd,gt_dist_to_center,win_dist_to_center,diff_dist_to_center,gt_nearest_edge_dist,win_nearest_edge_dist,diff_nearest_edge_dist,gt_nearest_cut_dist,win_nearest_cut_dist,diff_nearest_cut_dist,gt_row_spacing,win_row_spacing,diff_row_spacing,gt_col_spacing,win_col_spacing,diff_col_spacing,gt_local_density,win_local_density,diff_local_density,gt_family_population,win_family_population,diff_family_population
pair_020,SetA,359.5974759091987,466.8878186295023,0,-1,335.0,209.0,259.0582228353053,,0.809697687625885,,,2.587635040283203,,,0.06103482097387314,,,0.05,,,0.7601675448026158,,,0.7933557887213546,,,0.7992231463300419,,,0.7890650829810818,,,2298.554931640625,,,334.5235417724738,,,0.0,,,1.0,,,8.0,,,2.0,,,83.0185546875,,,14,
pair_023,SetA,357.48726056680914,561.5979415955231,1,4,529.0,547.0,172.13285475673703,0.8657007217407227,0.8701419234275818,-0.004441201686859131,3.265169858932495,3.2918829917907715,-0.026713132858276367,0.16127748787403107,0.07999567687511444,0.08128181099891663,0.0,0.05,-0.05,0.8565679051532014,0.8534232794462516,0.003144625706949733,0.8634932804073092,0.8633376785769581,0.0001556018303511264,0.8579738988489386,0.8650966048450277,-0.007122705996089107,0.8599004527331395,0.8620583692580446,-0.002157916524905046,1912.6529541015625,1919.65478515625,-7.0018310546875,154.94515158597252,55.226805085936306,99.71834650003622,1.0,0.0,1.0,1.0,1.0,0.0,6.0,7.0,-1.0,0.0,0.0,0.0,80.588134765625,80.0322265625,0.555908203125,2.0,2,0.0
pair_025,SetA,379.1116367088906,515.4013269230493,1,2,414.5,116.5,400.46798233740606,0.8413351774215698,0.8374168872833252,0.003918290138244629,1.7107627391815186,1.6884874105453491,0.022275328636169434,0.14048507809638977,0.04574231430888176,0.09474276378750801,0.05,0.05,0.0,0.8027008864392061,0.5860885662129991,0.21661232022620702,0.7785723634968614,0.7170464152690218,0.06152594822783963,0.5176651568658177,0.7859123641802759,-0.26824720731445817,0.679035185432913,0.718401225022319,-0.03936603958940599,1840.7490234375,1881.6353759765625,-40.8863525390625,121.49279814046592,392.9153852930679,-271.422587152602,1.5811388300841898,1.5811388300841898,0.0,3.5355339059327378,3.5355339059327378,0.0,2.0,0.0,2.0,148.0,0.0,148.0,114.375244140625,114.88818359375,-0.512939453125,3.0,1,2.0
pair_027,SetA,603.9420312048406,417.7763906775965,1,6,845.5,437.5,242.36186385887112,0.8401697874069214,0.8481721878051758,-0.008002400398254395,2.4443705081939697,2.4625535011291504,-0.018182992935180664,0.08862969279289246,0.045242562890052795,0.04338712990283966,0.09358541225631423,0.05,0.043585412256314224,0.7882246309457381,0.762709505059609,0.025515125886129142,0.7803188572880386,0.8036480093244784,-0.023329152036439815,0.750341726720253,0.7888615720345015,-0.03851984531424846,0.7699091597924643,0.7895457335555138,-0.019636573763049503,1972.752685546875,1856.3621826171875,116.3905029296875,130.024997596616,351.1075333854288,-221.08253578881278,0.7071067811865476,0.7071067811865476,0.0,1.5811388300841898,1.5811388300841898,0.0,9.0,6.0,3.0,2.0,2.0,0.0,111.22802734375,112.098388671875,-0.870361328125,6.0,24,-18.0
pair_029,SetA,505.0122385387808,618.7091177721555,0,-1,658.5,394.5,271.71349140325077,,0.8779050707817078,,,2.3593618869781494,,,0.06277532875537872,,,0.05,,,0.5851061991003353,,,0.7342910151076665,,,0.8479949363517442,,,0.7499356204038313,,,1692.3162841796875,,,190.4008928550494,,,0.7071067811865476,,,1.5811388300841898,,,2.0,,,23.0,,,115.9033203125,,,3,
pair_031,SetA,515.2050624964362,524.1079983471228,0,-1,244.5,250.5,384.8929300737006,,0.8406174182891846,,,1.6828336715698242,,,0.063433937728405,,,0.0875,,,0.7414984806231578,,,0.6995797283941045,,,0.7725461446599222,,,0.7371500453462423,,,1907.4244384765625,,,357.1141274158725,,,0.7071067811865476,,,0.7071067811865476,,,8.0,,,164.0,,,113.5068359375,,,50,
pair_038,SetA,363.5338391870325,490.2092338110844,0,-1,380.0,233.0,257.7357647079729,,0.7915728688240051,,,2.57308030128479,,,0.0491642951965332,,,0.05,,,0.7985529953706053,,,0.8032101768433066,,,0.8031187329291791,,,0.8022421629831155,,,2220.435546875,,,292.72683512107324,,,1.0,,,2.23606797749979,,,31.0,,,2.0,,,91.33837890625,,,5,
pair_039,SetA,414.3196668371812,445.5629858295304,1,4,576.0,456.0,162.01685528498157,0.8616511225700378,0.8713593482971191,-0.009708225727081299,2.542841672897339,2.5851902961730957,-0.042348623275756836,0.11437303572893143,0.06937962025403976,0.04499341547489166,0.05,0.05,0.0,0.7989823577652146,0.8245541179461514,-0.025571760180936765,0.7258367739492584,0.7670272875790223,-0.04119051362976389,0.7675633693808788,0.7927185744508493,-0.025155205069970488,0.7571565288850979,0.7888091684011789,-0.031652639516080994,2020.2562255859375,1886.56005859375,133.6961669921875,101.54801819828883,87.8179936004006,13.730024597888232,1.0,0.0,1.0,2.23606797749979,2.0,0.2360679774997898,0.0,0.0,0.0,0.0,0.0,0.0,101.080322265625,101.22998046875,-0.149658203125,1.0,1,0.0
pair_042,SetA,668.4494920156358,568.0786817680777,0,-1,669.5,589.5,21.44706137955736,,0.8275103569030762,,,2.6893868446350098,,,0.04854464903473854,,,0.05,,,0.8027115148005577,,,0.6760686084524248,,,0.663675028609052,,,0.6964397577847022,,,2240.560791015625,,,191.6781156000862,,,0.7071067811865476,,,0.7071067811865476,,,2.0,,,16.0,,,85.335205078125,,,12,
pair_043,SetA,564.7977986922531,533.8204042709664,0,-1,209.5,535.5,355.30176863811664,,0.872938871383667,,,1.762679934501648,,,0.04142548516392708,,,0.12961646096066226,,,0.7734239346291988,,,0.8334717693421215,,,0.8249383580675059,,,0.8180488378896908,,,1902.2283935546875,,,292.6610667649525,,,0.7071067811865476,,,0.7071067811865476,,,7.0,,,0.0,,,108.824462890625,,,8,
pair_045,SetA,375.918386738488,572.8570018542118,0,-1,663.5,597.5,288.6355169477713,,0.8793260455131531,,,2.307159185409546,,,0.05306173115968704,,,0.05,,,0.783601322094419,,,0.8166707839134263,,,0.7661476255620365,,,0.789847628209069,,,1741.4417724609375,,,190.36412477144953,,,0.7071067811865476,,,0.7071067811865476,,,9.0,,,2.0,,,113.341064453125,,,26,
pair_049,SetA,435.9720122977421,504.35336785436,1,1,436.0,504.0,0.35447447294926504,0.8790343999862671,0.8790343999862671,0.0,2.8318569660186768,2.8318569660186768,0.0,0.14213740825653076,0.14213740825653076,0.0,0.05,0.05,0.0,0.8504982882964163,0.8504982882964163,0.0,0.8586962907047854,0.8586962907047854,0.0,0.8411980780286943,0.8411980780286943,0.0,0.8500574051526751,0.8500574051526751,0.0,1864.8775634765625,1864.8775634765625,0.0,64.1248781675256,64.1248781675256,0.0,2.23606797749979,2.23606797749979,0.0,3.605551275463989,3.605551275463989,0.0,2.0,2.0,0.0,13.0,13.0,0.0,87.207763671875,87.207763671875,0.0,4.0,4,0.0
pair_050,SetA,523.0402884416775,624.2321491754209,0,-1,526.5,523.5,100.79154469282648,,0.8428255915641785,,,2.4188051223754883,,,0.04994538053870201,,,0.05,,,0.4830029422489507,,,0.6756514680842106,,,0.575213610100169,,,0.596946619723542,,,2334.75390625,,,35.41892149684968,,,0.7071067811865476,,,1.5811388300841898,,,2.0,,,2.0,,,94.900146484375,,,12,
pair_056,SetA,503.63453564902574,449.4331566071532,0,-1,535.0,456.0,32.04552677205374,,0.8280072212219238,,,2.1898467540740967,,,0.029218297451734543,,,0.125,,,0.8083670477205185,,,0.5982668542348244,,,0.8144140857161468,,,0.7267457855244922,,,2589.151123046875,,,56.22277118748239,,,0.0,,,2.23606797749979,,,292.0,,,74.0,,,94.30322265625,,,5,
pair_059,SetA,614.5899867242111,423.4540121109193,1,1,614.5,423.5,0.1010568972230651,0.850341796875,0.850341796875,0.0,2.248690128326416,2.248690128326416,0.0,0.1270882785320282,0.1270882785320282,0.0,0.05,0.05,0.0,0.7976779734303048,0.7976779734303048,0.0,0.7262942681889325,0.7262942681889325,0.0,0.7164659285988939,0.7164659285988939,0.0,0.7366396734011915,0.7366396734011915,0.0,1978.577392578125,1978.577392578125,0.0,137.70439353920412,137.70439353920412,0.0,2.5495097567963922,2.5495097567963922,0.0,0.7071067811865476,0.7071067811865476,0.0,2.0,2.0,0.0,277.0,277.0,0.0,111.115478515625,111.115478515625,0.0,4.0,4,0.0
pair_061,SetA,594.2687468898076,437.7733349522034,0,-1,159.0,94.0,554.65213228039,,0.8623265027999878,,,1.7693969011306763,,,0.05065818130970001,,,0.05,,,0.748048078265732,,,0.757852292273368,,,0.8066807925537978,,,0.7754228495840128,,,1993.02978515625,,,530.2046774595638,,,1.0,,,4.123105625617661,,,28.0,,,2.0,,,108.230224609375,,,12,
pair_062,SetA,317.90019451980305,581.77040896556,1,34,369.0,293.0,293.2567803380695,0.7701514959335327,0.7835597395896912,-0.013408243656158447,2.4633893966674805,2.503444194793701,-0.0400547981262207,0.03879493102431297,0.034038443118333817,0.0047564879059791565,0.16249999999999998,0.17694368026754387,-0.01444368026754389,0.7937753082139436,0.8193060650126409,-0.02553075679869732,0.7893210276427365,0.818043174345925,-0.02872214670318851,0.792532952702344,0.8113942717188846,-0.018861319016540534,0.791496653780821,0.815636191428452,-0.024139537647630993,2432.0810546875,2418.764404296875,13.316650390625,195.97959077414157,244.9693858423946,-48.98979506825302,1.0,1.0,0.0,1.0,2.0,-1.0,3.0,2.0,1.0,2.0,2.0,0.0,95.269775390625,94.57177734375,0.697998046875,26.0,26,0.0
pair_063,SetA,612.8646965251174,489.01816294065696,1,7,313.5,44.5,535.9250122075962,0.8566946983337402,0.8825123310089111,-0.0258176326751709,2.640472650527954,2.588271379470825,0.052201271057128906,0.1436118632555008,0.06680397689342499,0.0768078863620758,0.05,0.0875,-0.03749999999999999,0.7999872562741177,0.7538768454709083,0.046110410803209434,0.5255627302695969,0.7784325171620683,-0.2528697868924714,0.8070164724487547,0.750775488680434,0.05624098376832076,0.6930291323421642,0.7624585714311827,-0.06942943908901844,1967.02392578125,1869.816650390625,97.207275390625,112.98893751159889,492.2016863034908,-379.21274879189195,1.5811388300841898,1.5811388300841898,0.0,2.9154759474226504,3.5355339059327378,-0.6200579585100874,2.0,0.0,2.0,6.0,0.0,6.0,97.28857421875,96.68310546875,0.60546875,13.0,1,12.0
pair_064,SetA,556.2970362597354,454.8233314230886,1,18,578.0,849.0,394.7736879346235,0.7775226831436157,0.798963725566864,-0.02144104242324829,2.5769193172454834,2.6209869384765625,-0.0440676212310791,0.05668894946575165,0.04724407568573952,0.00944487378001213,0.05,0.05,0.0,0.46997277018575684,0.5592795025461759,-0.08930673236041903,0.5888662041406187,0.6397423089815053,-0.05087610484088656,0.6010090607345201,0.6553574836724784,-0.054348422937958274,0.5699446599872069,0.6298958175708287,-0.059951157583621795,2354.526611328125,2384.69287109375,-30.166259765625,75.07329751649384,357.61012289922667,-282.53682538273284,0.0,1.0,-1.0,2.0,2.0,0.0,2.0,253.0,-251.0,27.0,14.0,13.0,90.535888671875,89.055908203125,1.47998046875,8.0,8,0.0
pair_087,SetB,561.7446930867666,483.7465478031667,0,-1,882.0,656.0,363.6409127144745,,0.8283061981201172,,,2.3189799785614014,,,0.050983842462301254,,,0.05,,,0.6992413654697197,,,0.7089142998564322,,,0.7504749579249967,,,0.7236039762065156,,,1848.0404052734375,,,412.62573841194154,,,1.0,,,1.0,,,2.0,,,13.0,,,114.555419921875,,,28,
pair_095,SetB,631.1139006707233,614.2538407644836,1,1,631.0,614.0,0.278223824473799,0.8129181861877441,0.8129181861877441,0.0,3.313218593597412,3.313218593597412,0.0,0.06665808707475662,0.06665808707475662,0.0,0.05,0.05,0.0,0.7052116654548745,0.7052116654548745,0.0,0.7856016627234074,0.7856016627234074,0.0,0.7756633827256878,0.7756633827256878,0.0,0.765548351270613,0.765548351270613,0.0,1911.7181396484375,1911.7181396484375,0.0,173.65770930194836,173.65770930194836,0.0,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,0.0,33.0,33.0,0.0,2.0,2.0,0.0,88.66259765625,88.66259765625,0.0,4.0,4,0.0
pair_111,SetB,641.9649092431109,514.1642988479941,1,3,839.5,517.5,197.56325311785056,0.8513476252555847,0.8694707751274109,-0.018123149871826172,3.3222737312316895,3.4385480880737305,-0.11627435684204102,0.10468072444200516,0.07348885387182236,0.0311918705701828,0.05,0.05,0.0,0.5843659923077151,0.7977870491794339,-0.21342105687171875,0.86454892594681,0.8083702317124146,0.056178694234395365,0.8329297211575188,0.7234523483561368,0.10947737280138203,0.7958646573032746,0.7722864418633074,0.023578215439967187,1787.263916015625,1403.1387939453125,384.1251220703125,142.24099268495002,339.9507317244662,-197.7097390395162,1.5811388300841898,0.7071067811865476,0.8740320488976422,4.527692569068709,5.70087712549569,-1.173184556426981,8.0,8.0,0.0,2.0,2.0,0.0,105.19921875,112.73388671875,-7.53466796875,40.0,40,0.0
pair_123,SetB,556.7602334876108,478.9354070031733,0,-1,911.5,90.5,526.0440735898327,,0.7955144643783569,,,2.1713297367095947,,,0.05965588241815567,,,0.05,,,0.8013231652341892,,,0.7684834737142325,,,0.7427122254337164,,,0.7647429127060175,,,2522.506591796875,,,580.536389901615,,,0.7071067811865476,,,0.7071067811865476,,,0.0,,,0.0,,,92.2119140625,,,1,
pair_125,SetB,605.7903195195479,541.5417448911985,0,-1,213.5,53.5,626.1600750169198,,0.8050053119659424,,,2.350944757461548,,,0.044599808752536774,,,0.05,,,0.6848693494153313,,,0.7865148355801436,,,0.7349295932298486,,,0.7455516414070632,,,1292.6815185546875,,,530.5134305557211,,,0.7071067811865476,,,12.90348790056394,,,2.0,,,25.0,,,133.650146484375,,,10,
pair_135,SetB,593.8296018092655,434.1213027584054,1,48,786.5,860.5,467.8895978758403,0.7644516229629517,0.7872605323791504,-0.02280890941619873,2.396409749984741,2.3960185050964355,0.00039124488830566406,0.05346576124429703,0.0326019823551178,0.02086377888917923,0.05,0.09358541225631423,-0.043585412256314224,0.5554203185668252,0.5380453411446717,0.017374977422153437,0.7095661900280715,0.6912638666768536,0.018302323351217953,0.6866643058703485,0.7436823439895438,-0.05701803811919526,0.669576262072733,0.6815875524954933,-0.012011290422760279,3200.05126953125,1663.7877197265625,1536.2635498046875,114.15997547301768,460.48072706683394,-346.3207515938162,0.7071067811865476,0.7071067811865476,0.0,4.949747468305833,4.743416490252569,0.20633097805326361,2.0,3.0,-1.0,15.0,2.0,13.0,98.239013671875,122.641845703125,-24.40283203125,50.0,50,0.0
