triplet_id,sample_id,difficulty,architecture,ref_64_path,ref_128_path,pos_64_path,pos_128_path,neg_64_path,neg_128_path,pos_ncc,neg_ncc,pos_error,neg_error,gt_x,gt_y
10,2,Hard,finfet_10nm,data/hcr_train\triplets\00010_ref_64.npy,data/hcr_train\triplets\00010_ref_128.npy,data/hcr_train\triplets\00010_pos_64.npy,data/hcr_train\triplets\00010_pos_128.npy,data/hcr_train\triplets\00010_neg_64.npy,data/hcr_train\triplets\00010_neg_128.npy,0.705,0.699,2.5,22.14,555.5,705.0
11,2,Hard,finfet_10nm,data/hcr_train\triplets\00011_ref_64.npy,data/hcr_train\triplets\00011_ref_128.npy,data/hcr_train\triplets\00011_pos_64.npy,data/hcr_train\triplets\00011_pos_128.npy,data/hcr_train\triplets\00011_neg_64.npy,data/hcr_train\triplets\00011_neg_128.npy,0.705,0.6835,2.5,44.07,555.5,705.0
12,2,Hard,finfet_10nm,data/hcr_train\triplets\00012_ref_64.npy,data/hcr_train\triplets\00012_ref_128.npy,data/hcr_train\triplets\00012_pos_64.npy,data/hcr_train\triplets\00012_pos_128.npy,data/hcr_train\triplets\00012_neg_64.npy,data/hcr_train\triplets\00012_neg_128.npy,0.705,0.6708,2.5,22.14,555.5,705.0
13,2,Hard,finfet_10nm,data/hcr_train\triplets\00013_ref_64.npy,data/hcr_train\triplets\00013_ref_128.npy,data/hcr_train\triplets\00013_pos_64.npy,data/hcr_train\triplets\00013_pos_128.npy,data/hcr_train\triplets\00013_neg_64.npy,data/hcr_train\triplets\00013_neg_128.npy,0.705,0.6627,2.5,66.05,555.5,705.0
14,2,Hard,finfet_10nm,data/hcr_train\triplets\00014_ref_64.npy,data/hcr_train\triplets\00014_ref_128.npy,data/hcr_train\triplets\00014_pos_64.npy,data/hcr_train\triplets\00014_pos_128.npy,data/hcr_train\triplets\00014_neg_64.npy,data/hcr_train\triplets\00014_neg_128.npy,0.705,0.639,2.5,44.07,555.5,705.0
15,3,Adversarial,finfet_7nm,data/hcr_train\triplets\00015_ref_64.npy,data/hcr_train\triplets\00015_ref_128.npy,data/hcr_train\triplets\00015_pos_64.npy,data/hcr_train\triplets\00015_pos_128.npy,data/hcr_train\triplets\00015_neg_64.npy,data/hcr_train\triplets\00015_neg_128.npy,0.3601,0.3777,4.1,672.54,828.1,667.8
16,3,Adversarial,finfet_7nm,data/hcr_train\triplets\00016_ref_64.npy,data/hcr_train\triplets\00016_ref_128.npy,data/hcr_train\triplets\00016_pos_64.npy,data/hcr_train\triplets\00016_pos_128.npy,data/hcr_train\triplets\00016_neg_64.npy,data/hcr_train\triplets\00016_neg_128.npy,0.3601,0.3691,4.1,633.2,828.1,667.8
17,3,Adversarial,finfet_7nm,data/hcr_train\triplets\00017_ref_64.npy,data/hcr_train\triplets\00017_ref_128.npy,data/hcr_train\triplets\00017_pos_64.npy,data/hcr_train\triplets\00017_pos_128.npy,data/hcr_train\triplets\00017_neg_64.npy,data/hcr_train\triplets\00017_neg_128.npy,0.3601,0.3665,4.1,22.58,828.1,667.8
18,3,Adversarial,finfet_7nm,data/hcr_train\triplets\00018_ref_64.npy,data/hcr_train\triplets\00018_ref_128.npy,data/hcr_train\triplets\00018_pos_64.npy,data/hcr_train\triplets\00018_pos_128.npy,data/hcr_train\triplets\00018_neg_64.npy,data/hcr_train\triplets\00018_neg_128.npy,0.3601,0.365,4.1,652.8,828.1,667.8
19,3,Adversarial,finfet_7nm,data/hcr_train\triplets\00019_ref_64.npy,data/hcr_train\triplets\00019_ref_128.npy,data/hcr_train\triplets\00019_pos_64.npy,data/hcr_train\triplets\00019_pos_128.npy,data/hcr_train\triplets\00019_neg_64.npy,data/hcr_train\triplets\00019_neg_128.npy,0.3601,0.362,4.1,44.39,828.1,667.8
20,4,Easy,dram_1x,data/hcr_train\triplets\00020_ref_64.npy,data/hcr_train\triplets\00020_ref_128.npy,data/hcr_train\triplets\00020_pos_64.npy,data/hcr_train\triplets\00020_pos_128.npy,data/hcr_train\triplets\00020_neg_64.npy,data/hcr_train\triplets\00020_neg_128.npy,0.9066,0.8996,0.41,23.6,751.9,643.4
21,4,Easy,dram_1x,data/hcr_train\triplets\00021_ref_64.npy,data/hcr_train\triplets\00021_ref_128.npy,data/hcr_train\triplets\00021_pos_64.npy,data/hcr_train\triplets\00021_pos_128.npy,data/hcr_train\triplets\00021_neg_64.npy,data/hcr_train\triplets\00021_neg_128.npy,0.9066,0.8975,0.41,161.04,751.9,643.4
22,4,Easy,dram_1x,data/hcr_train\triplets\00022_ref_64.npy,data/hcr_train\triplets\00022_ref_128.npy,data/hcr_train\triplets\00022_pos_64.npy,data/hcr_train\triplets\00022_pos_128.npy,data/hcr_train\triplets\00022_neg_64.npy,data/hcr_train\triplets\00022_neg_128.npy,0.9066,0.8959,0.41,72.9,751.9,643.4
23,4,Easy,dram_1x,data/hcr_train\triplets\00023_ref_64.npy,data/hcr_train\triplets\00023_ref_128.npy,data/hcr_train\triplets\00023_pos_64.npy,data/hcr_train\triplets\00023_pos_128.npy,data/hcr_train\triplets\00023_neg_64.npy,data/hcr_train\triplets\00023_neg_128.npy,0.9066,0.895,0.41,87.06,751.9,643.4
24,4,Easy,dram_1x,data/hcr_train\triplets\00024_ref_64.npy,data/hcr_train\triplets\00024_ref_128.npy,data/hcr_train\triplets\00024_pos_64.npy,data/hcr_train\triplets\00024_pos_128.npy,data/hcr_train\triplets\00024_neg_64.npy,data/hcr_train\triplets\00024_neg_128.npy,0.9066,0.8935,0.41,76.62,751.9,643.4
25,5,Medium,dram_dense,data/hcr_train\triplets\00025_ref_64.npy,data/hcr_train\triplets\00025_ref_128.npy,data/hcr_train\triplets\00025_pos_64.npy,data/hcr_train\triplets\00025_pos_128.npy,data/hcr_train\triplets\00025_neg_64.npy,data/hcr_train\triplets\00025_neg_128.npy,0.8715,0.552,0.92,21.1,297.9,285.8
26,5,Medium,dram_dense,data/hcr_train\triplets\00026_ref_64.npy,data/hcr_train\triplets\00026_ref_128.npy,data/hcr_train\triplets\00026_pos_64.npy,data/hcr_train\triplets\00026_pos_128.npy,data/hcr_train\triplets\00026_neg_64.npy,data/hcr_train\triplets\00026_neg_128.npy,0.8715,0.545,0.92,107.1,297.9,285.8
27,5,Medium,dram_dense,data/hcr_train\triplets\00027_ref_64.npy,data/hcr_train\triplets\00027_ref_128.npy,data/hcr_train\triplets\00027_pos_64.npy,data/hcr_train\triplets\00027_pos_128.npy,data/hcr_train\triplets\00027_neg_64.npy,data/hcr_train\triplets\00027_neg_128.npy,0.8715,0.5286,0.92,53.1,297.9,285.8
28,5,Medium,dram_dense,data/hcr_train\triplets\00028_ref_64.npy,data/hcr_train\triplets\00028_ref_128.npy,data/hcr_train\triplets\00028_pos_64.npy,data/hcr_train\triplets\00028_pos_128.npy,data/hcr_train\triplets\00028_neg_64.npy,data/hcr_train\triplets\00028_neg_128.npy,0.8715,0.5254,0.92,14.23,297.9,285.8
29,5,Medium,dram_dense,data/hcr_train\triplets\00029_ref_64.npy,data/hcr_train\triplets\00029_ref_128.npy,data/hcr_train\triplets\00029_pos_64.npy,data/hcr_train\triplets\00029_pos_128.npy,data/hcr_train\triplets\00029_neg_64.npy,data/hcr_train\triplets\00029_neg_128.npy,0.8715,0.5199,0.92,648.69,297.9,285.8
30,6,Hard,finfet_10nm,data/hcr_train\triplets\00030_ref_64.npy,data/hcr_train\triplets\00030_ref_128.npy,data/hcr_train\triplets\00030_pos_64.npy,data/hcr_train\triplets\00030_pos_128.npy,data/hcr_train\triplets\00030_neg_64.npy,data/hcr_train\triplets\00030_neg_128.npy,0.7465,0.7555,3.11,92.9,403.1,901.2
31,6,Hard,finfet_10nm,data/hcr_train\triplets\00031_ref_64.npy,data/hcr_train\triplets\00031_ref_128.npy,data/hcr_train\triplets\00031_pos_64.npy,data/hcr_train\triplets\00031_pos_128.npy,data/hcr_train\triplets\00031_neg_64.npy,data/hcr_train\triplets\00031_neg_128.npy,0.7465,0.7519,3.11,44.9,403.1,901.2
32,6,Hard,finfet_10nm,data/hcr_train\triplets\00032_ref_64.npy,data/hcr_train\triplets\00032_ref_128.npy,data/hcr_train\triplets\00032_pos_64.npy,data/hcr_train\triplets\00032_pos_128.npy,data/hcr_train\triplets\00032_neg_64.npy,data/hcr_train\triplets\00032_neg_128.npy,0.7465,0.7506,3.11,12.9,403.1,901.2
33,6,Hard,finfet_10nm,data/hcr_train\triplets\00033_ref_64.npy,data/hcr_train\triplets\00033_ref_128.npy,data/hcr_train\triplets\00033_pos_64.npy,data/hcr_train\triplets\00033_pos_128.npy,data/hcr_train\triplets\00033_neg_64.npy,data/hcr_train\triplets\00033_neg_128.npy,0.7465,0.7491,3.11,60.9,403.1,901.2
34,6,Hard,finfet_10nm,data/hcr_train\triplets\00034_ref_64.npy,data/hcr_train\triplets\00034_ref_128.npy,data/hcr_train\triplets\00034_pos_64.npy,data/hcr_train\triplets\00034_pos_128.npy,data/hcr_train\triplets\00034_neg_64.npy,data/hcr_train\triplets\00034_neg_128.npy,0.7465,0.7489,3.11,76.9,403.1,901.2
35,7,Adversarial,finfet_7nm,data/hcr_train\triplets\00035_ref_64.npy,data/hcr_train\triplets\00035_ref_128.npy,data/hcr_train\triplets\00035_pos_64.npy,data/hcr_train\triplets\00035_pos_128.npy,data/hcr_train\triplets\00035_neg_64.npy,data/hcr_train\triplets\00035_neg_128.npy,0.5286,0.5316,1.2,26.8,470.2,227.0
36,7,Adversarial,finfet_7nm,data/hcr_train\triplets\00036_ref_64.npy,data/hcr_train\triplets\00036_ref_128.npy,data/hcr_train\triplets\00036_pos_64.npy,data/hcr_train\triplets\00036_pos_128.npy,data/hcr_train\triplets\00036_neg_64.npy,data/hcr_train\triplets\00036_neg_128.npy,0.5286,0.517,1.2,29.2,470.2,227.0
37,7,Adversarial,finfet_7nm,data/hcr_train\triplets\00037_ref_64.npy,data/hcr_train\triplets\00037_ref_128.npy,data/hcr_train\triplets\00037_pos_64.npy,data/hcr_train\triplets\00037_pos_128.npy,data/hcr_train\triplets\00037_neg_64.npy,data/hcr_train\triplets\00037_neg_128.npy,0.5286,0.5145,1.2,57.2,470.2,227.0
38,7,Adversarial,finfet_7nm,data/hcr_train\triplets\00038_ref_64.npy,data/hcr_train\triplets\00038_ref_128.npy,data/hcr_train\triplets\00038_pos_64.npy,data/hcr_train\triplets\00038_pos_128.npy,data/hcr_train\triplets\00038_neg_64.npy,data/hcr_train\triplets\00038_neg_128.npy,0.5286,0.5143,1.2,112.2,470.2,227.0
39,7,Adversarial,finfet_7nm,data/hcr_train\triplets\00039_ref_64.npy,data/hcr_train\triplets\00039_ref_128.npy,data/hcr_train\triplets\00039_pos_64.npy,data/hcr_train\triplets\00039_pos_128.npy,data/hcr_train\triplets\00039_neg_64.npy,data/hcr_train\triplets\00039_neg_128.npy,0.5286,0.5101,1.2,85.2,470.2,227.0
40,8,Easy,dram_1x,data/hcr_train\triplets\00040_ref_64.npy,data/hcr_train\triplets\00040_ref_128.npy,data/hcr_train\triplets\00040_pos_64.npy,data/hcr_train\triplets\00040_pos_128.npy,data/hcr_train\triplets\00040_neg_64.npy,data/hcr_train\triplets\00040_neg_128.npy,0.8673,0.8475,0.86,654.32,320.7,595.5
41,8,Easy,dram_1x,data/hcr_train\triplets\00041_ref_64.npy,data/hcr_train\triplets\00041_ref_128.npy,data/hcr_train\triplets\00041_pos_64.npy,data/hcr_train\triplets\00041_pos_128.npy,data/hcr_train\triplets\00041_neg_64.npy,data/hcr_train\triplets\00041_neg_128.npy,0.8673,0.78,0.86,654.79,320.7,595.5
42,8,Easy,dram_1x,data/hcr_train\triplets\00042_ref_64.npy,data/hcr_train\triplets\00042_ref_128.npy,data/hcr_train\triplets\00042_pos_64.npy,data/hcr_train\triplets\00042_pos_128.npy,data/hcr_train\triplets\00042_neg_64.npy,data/hcr_train\triplets\00042_neg_128.npy,0.8673,0.7494,0.86,660.6,320.7,595.5
43,8,Easy,dram_1x,data/hcr_train\triplets\00043_ref_64.npy,data/hcr_train\triplets\00043_ref_128.npy,data/hcr_train\triplets\00043_pos_64.npy,data/hcr_train\triplets\00043_pos_128.npy,data/hcr_train\triplets\00043_neg_64.npy,data/hcr_train\triplets\00043_neg_128.npy,0.8673,0.7381,0.86,648.57,320.7,595.5
44,8,Easy,dram_1x,data/hcr_train\triplets\00044_ref_64.npy,data/hcr_train\triplets\00044_ref_128.npy,data/hcr_train\triplets\00044_pos_64.npy,data/hcr_train\triplets\00044_pos_128.npy,data/hcr_train\triplets\00044_neg_64.npy,data/hcr_train\triplets\00044_neg_128.npy,0.8673,0.7198,0.86,57.3,320.7,595.5
45,9,Medium,dram_dense,data/hcr_train\triplets\00045_ref_64.npy,data/hcr_train\triplets\00045_ref_128.npy,data/hcr_train\triplets\00045_pos_64.npy,data/hcr_train\triplets\00045_pos_128.npy,data/hcr_train\triplets\00045_neg_64.npy,data/hcr_train\triplets\00045_neg_128.npy,0.9146,0.8703,0.0,24.0,550.0,50.0
46,9,Medium,dram_dense,data/hcr_train\triplets\00046_ref_64.npy,data/hcr_train\triplets\00046_ref_128.npy,data/hcr_train\triplets\00046_pos_64.npy,data/hcr_train\triplets\00046_pos_128.npy,data/hcr_train\triplets\00046_neg_64.npy,data/hcr_train\triplets\00046_neg_128.npy,0.9146,0.8626,0.0,48.0,550.0,50.0
47,9,Medium,dram_dense,data/hcr_train\triplets\00047_ref_64.npy,data/hcr_train\triplets\00047_ref_128.npy,data/hcr_train\triplets\00047_pos_64.npy,data/hcr_train\triplets\00047_pos_128.npy,data/hcr_train\triplets\00047_neg_64.npy,data/hcr_train\triplets\00047_neg_128.npy,0.9146,0.851,0.0,72.0,550.0,50.0
48,9,Medium,dram_dense,data/hcr_train\triplets\00048_ref_64.npy,data/hcr_train\triplets\00048_ref_128.npy,data/hcr_train\triplets\00048_pos_64.npy,data/hcr_train\triplets\00048_pos_128.npy,data/hcr_train\triplets\00048_neg_64.npy,data/hcr_train\triplets\00048_neg_128.npy,0.9146,0.8341,0.0,119.0,550.0,50.0
49,9,Medium,dram_dense,data/hcr_train\triplets\00049_ref_64.npy,data/hcr_train\triplets\00049_ref_128.npy,data/hcr_train\triplets\00049_pos_64.npy,data/hcr_train\triplets\00049_pos_128.npy,data/hcr_train\triplets\00049_neg_64.npy,data/hcr_train\triplets\00049_neg_128.npy,0.9146,0.8326,0.0,143.0,550.0,50.0
50,10,Hard,finfet_10nm,data/hcr_train\triplets\00050_ref_64.npy,data/hcr_train\triplets\00050_ref_128.npy,data/hcr_train\triplets\00050_pos_64.npy,data/hcr_train\triplets\00050_pos_128.npy,data/hcr_train\triplets\00050_neg_64.npy,data/hcr_train\triplets\00050_neg_128.npy,0.6341,0.4203,2.3,581.16,557.3,904.9
51,10,Hard,finfet_10nm,data/hcr_train\triplets\00051_ref_64.npy,data/hcr_train\triplets\00051_ref_128.npy,data/hcr_train\triplets\00051_pos_64.npy,data/hcr_train\triplets\00051_pos_128.npy,data/hcr_train\triplets\00051_neg_64.npy,data/hcr_train\triplets\00051_neg_128.npy,0.6341,0.4025,2.3,648.3,557.3,904.9
52,10,Hard,finfet_10nm,data/hcr_train\triplets\00052_ref_64.npy,data/hcr_train\triplets\00052_ref_128.npy,data/hcr_train\triplets\00052_pos_64.npy,data/hcr_train\triplets\00052_pos_128.npy,data/hcr_train\triplets\00052_neg_64.npy,data/hcr_train\triplets\00052_neg_128.npy,0.6341,0.3974,2.3,413.82,557.3,904.9
53,10,Hard,finfet_10nm,data/hcr_train\triplets\00053_ref_64.npy,data/hcr_train\triplets\00053_ref_128.npy,data/hcr_train\triplets\00053_pos_64.npy,data/hcr_train\triplets\00053_pos_128.npy,data/hcr_train\triplets\00053_neg_64.npy,data/hcr_train\triplets\00053_neg_128.npy,0.6341,0.3927,2.3,11.7,557.3,904.9
54,10,Hard,finfet_10nm,data/hcr_train\triplets\00054_ref_64.npy,data/hcr_train\triplets\00054_ref_128.npy,data/hcr_train\triplets\00054_pos_64.npy,data/hcr_train\triplets\00054_pos_128.npy,data/hcr_train\triplets\00054_neg_64.npy,data/hcr_train\triplets\00054_neg_128.npy,0.6341,0.389,2.3,18.3,557.3,904.9
55,11,Adversarial,finfet_7nm,data/hcr_train\triplets\00055_ref_64.npy,data/hcr_train\triplets\00055_ref_128.npy,data/hcr_train\triplets\00055_pos_64.npy,data/hcr_train\triplets\00055_pos_128.npy,data/hcr_train\triplets\00055_neg_64.npy,data/hcr_train\triplets\00055_neg_128.npy,0.4394,0.3967,0.67,750.19,564.6,92.3
56,11,Adversarial,finfet_7nm,data/hcr_train\triplets\00056_ref_64.npy,data/hcr_train\triplets\00056_ref_128.npy,data/hcr_train\triplets\00056_pos_64.npy,data/hcr_train\triplets\00056_pos_128.npy,data/hcr_train\triplets\00056_neg_64.npy,data/hcr_train\triplets\00056_neg_128.npy,0.4394,0.3623,0.67,103.7,564.6,92.3
57,11,Adversarial,finfet_7nm,data/hcr_train\triplets\00057_ref_64.npy,data/hcr_train\triplets\00057_ref_128.npy,data/hcr_train\triplets\00057_pos_64.npy,data/hcr_train\triplets\00057_pos_128.npy,data/hcr_train\triplets\00057_neg_64.npy,data/hcr_train\triplets\00057_neg_128.npy,0.4394,0.3594,0.67,611.58,564.6,92.3
58,11,Adversarial,finfet_7nm,data/hcr_train\triplets\00058_ref_64.npy,data/hcr_train\triplets\00058_ref_128.npy,data/hcr_train\triplets\00058_pos_64.npy,data/hcr_train\triplets\00058_pos_128.npy,data/hcr_train\triplets\00058_neg_64.npy,data/hcr_train\triplets\00058_neg_128.npy,0.4394,0.3473,0.67,53.72,564.6,92.3
59,11,Adversarial,finfet_7nm,data/hcr_train\triplets\00059_ref_64.npy,data/hcr_train\triplets\00059_ref_128.npy,data/hcr_train\triplets\00059_pos_64.npy,data/hcr_train\triplets\00059_pos_128.npy,data/hcr_train\triplets\00059_neg_64.npy,data/hcr_train\triplets\00059_neg_128.npy,0.4394,0.3355,0.67,656.43,564.6,92.3
60,12,Easy,dram_1x,data/hcr_train\triplets\00060_ref_64.npy,data/hcr_train\triplets\00060_ref_128.npy,data/hcr_train\triplets\00060_pos_64.npy,data/hcr_train\triplets\00060_pos_128.npy,data/hcr_train\triplets\00060_neg_64.npy,data/hcr_train\triplets\00060_neg_128.npy,0.9056,0.4828,0.51,144.9,853.9,279.5
61,12,Easy,dram_1x,data/hcr_train\triplets\00061_ref_64.npy,data/hcr_train\triplets\00061_ref_128.npy,data/hcr_train\triplets\00061_pos_64.npy,data/hcr_train\triplets\00061_pos_128.npy,data/hcr_train\triplets\00061_neg_64.npy,data/hcr_train\triplets\00061_neg_128.npy,0.9056,0.4663,0.51,72.9,853.9,279.5
62,12,Easy,dram_1x,data/hcr_train\triplets\00062_ref_64.npy,data/hcr_train\triplets\00062_ref_128.npy,data/hcr_train\triplets\00062_pos_64.npy,data/hcr_train\triplets\00062_pos_128.npy,data/hcr_train\triplets\00062_neg_64.npy,data/hcr_train\triplets\00062_neg_128.npy,0.9056,0.4653,0.51,216.9,853.9,279.5
63,12,Easy,dram_1x,data/hcr_train\triplets\00063_ref_64.npy,data/hcr_train\triplets\00063_ref_128.npy,data/hcr_train\triplets\00063_pos_64.npy,data/hcr_train\triplets\00063_pos_128.npy,data/hcr_train\triplets\00063_neg_64.npy,data/hcr_train\triplets\00063_neg_128.npy,0.9056,0.4518,0.51,15.5,853.9,279.5
64,12,Easy,dram_1x,data/hcr_train\triplets\00064_ref_64.npy,data/hcr_train\triplets\00064_ref_128.npy,data/hcr_train\triplets\00064_pos_64.npy,data/hcr_train\triplets\00064_pos_128.npy,data/hcr_train\triplets\00064_neg_64.npy,data/hcr_train\triplets\00064_neg_128.npy,0.9056,0.4397,0.51,18.5,853.9,279.5
65,13,Medium,dram_dense,data/hcr_train\triplets\00065_ref_64.npy,data/hcr_train\triplets\00065_ref_128.npy,data/hcr_train\triplets\00065_pos_64.npy,data/hcr_train\triplets\00065_pos_128.npy,data/hcr_train\triplets\00065_neg_64.npy,data/hcr_train\triplets\00065_neg_128.npy,0.8986,0.7542,0.7,20.3,910.7,596.0
66,13,Medium,dram_dense,data/hcr_train\triplets\00066_ref_64.npy,data/hcr_train\triplets\00066_ref_128.npy,data/hcr_train\triplets\00066_pos_64.npy,data/hcr_train\triplets\00066_pos_128.npy,data/hcr_train\triplets\00066_neg_64.npy,data/hcr_train\triplets\00066_neg_128.npy,0.8986,0.7123,0.7,14.02,910.7,596.0
67,13,Medium,dram_dense,data/hcr_train\triplets\00067_ref_64.npy,data/hcr_train\triplets\00067_ref_128.npy,data/hcr_train\triplets\00067_pos_64.npy,data/hcr_train\triplets\00067_pos_128.npy,data/hcr_train\triplets\00067_neg_64.npy,data/hcr_train\triplets\00067_neg_128.npy,0.8986,0.6865,0.7,591.7,910.7,596.0
68,13,Medium,dram_dense,data/hcr_train\triplets\00068_ref_64.npy,data/hcr_train\triplets\00068_ref_128.npy,data/hcr_train\triplets\00068_pos_64.npy,data/hcr_train\triplets\00068_pos_128.npy,data/hcr_train\triplets\00068_neg_64.npy,data/hcr_train\triplets\00068_neg_128.npy,0.8986,0.6853,0.7,854.7,910.7,596.0
69,13,Medium,dram_dense,data/hcr_train\triplets\00069_ref_64.npy,data/hcr_train\triplets\00069_ref_128.npy,data/hcr_train\triplets\00069_pos_64.npy,data/hcr_train\triplets\00069_pos_128.npy,data/hcr_train\triplets\00069_neg_64.npy,data/hcr_train\triplets\00069_neg_128.npy,0.8986,0.6801,0.7,811.7,910.7,596.0
70,14,Hard,finfet_10nm,data/hcr_train\triplets\00070_ref_64.npy,data/hcr_train\triplets\00070_ref_128.npy,data/hcr_train\triplets\00070_pos_64.npy,data/hcr_train\triplets\00070_pos_128.npy,data/hcr_train\triplets\00070_neg_64.npy,data/hcr_train\triplets\00070_neg_128.npy,0.7833,0.7872,2.32,52.35,316.3,726.7
71,14,Hard,finfet_10nm,data/hcr_train\triplets\00071_ref_64.npy,data/hcr_train\triplets\00071_ref_128.npy,data/hcr_train\triplets\00071_pos_64.npy,data/hcr_train\triplets\00071_pos_128.npy,data/hcr_train\triplets\00071_neg_64.npy,data/hcr_train\triplets\00071_neg_128.npy,0.7833,0.7646,2.32,51.75,316.3,726.7
72,14,Hard,finfet_10nm,data/hcr_train\triplets\00072_ref_64.npy,data/hcr_train\triplets\00072_ref_128.npy,data/hcr_train\triplets\00072_pos_64.npy,data/hcr_train\triplets\00072_pos_128.npy,data/hcr_train\triplets\00072_neg_64.npy,data/hcr_train\triplets\00072_neg_128.npy,0.7833,0.7375,2.32,379.7,316.3,726.7
73,14,Hard,finfet_10nm,data/hcr_train\triplets\00073_ref_64.npy,data/hcr_train\triplets\00073_ref_128.npy,data/hcr_train\triplets\00073_pos_64.npy,data/hcr_train\triplets\00073_pos_128.npy,data/hcr_train\triplets\00073_neg_64.npy,data/hcr_train\triplets\00073_neg_128.npy,0.7833,0.7219,2.32,103.73,316.3,726.7
74,14,Hard,finfet_10nm,data/hcr_train\triplets\00074_ref_64.npy,data/hcr_train\triplets\00074_ref_128.npy,data/hcr_train\triplets\00074_pos_64.npy,data/hcr_train\triplets\00074_pos_128.npy,data/hcr_train\triplets\00074_neg_64.npy,data/hcr_train\triplets\00074_neg_128.npy,0.7833,0.7209,2.32,275.7,316.3,726.7
75,15,Adversarial,finfet_7nm,data/hcr_train\triplets\00075_ref_64.npy,data/hcr_train\triplets\00075_ref_128.npy,data/hcr_train\triplets\00075_pos_64.npy,data/hcr_train\triplets\00075_pos_128.npy,data/hcr_train\triplets\00075_neg_64.npy,data/hcr_train\triplets\00075_neg_128.npy,0.5078,0.4798,2.21,802.59,827.2,623.8
76,15,Adversarial,finfet_7nm,data/hcr_train\triplets\00076_ref_64.npy,data/hcr_train\triplets\00076_ref_128.npy,data/hcr_train\triplets\00076_pos_64.npy,data/hcr_train\triplets\00076_pos_128.npy,data/hcr_train\triplets\00076_neg_64.npy,data/hcr_train\triplets\00076_neg_128.npy,0.5078,0.4737,2.21,633.38,827.2,623.8
