pair_id,v54_cx,v54_cy,v54_struct,gt_cx,gt_cy,gt_struct,delta_struct,delta_c_core,delta_ctx_s32,delta_ctx_s64,delta_ctx_s128,delta_ctx_comb,delta_grad,delta_phase_pen,lattice_dev
pair_048,64.46324920654297,108.5045394897461,-0.014779484326376595,373.4100646972656,455.4884338378906,0.22968487027873194,0.24446435460510854,0.19858513958752155,0.3621938228607178,0.31325965374708176,0.3015758073888719,0.318372949026525,0.19355934858322144,-0.034732863100072106,-1.0
pair_050,72.909912109375,216.91769409179688,0.2330686152726412,522.5,624.4963989257812,0.3916878775198437,0.1586192622472025,0.2188243269920349,0.023459017276763916,0.009257882833480835,0.11881744861602783,0.05592193603515622,0.22476383298635483,0.0311606960566988,0.4896496175500651
pair_061,71.04774475097656,140.11418914794922,-0.1658475076034665,592.85498046875,437.840087890625,0.5833864498138428,0.7492339574173092,0.9296668618917465,0.8206007033586502,0.7511150762438774,0.808758020401001,0.7880693793296814,0.38367171958088875,-0.03749999999999999,0.6185511037477682
pair_070,58.42468547821045,101.48640060424805,-0.04281879320006123,532.4496154785156,487.3305969238281,0.06291836850345134,0.10573716170351258,0.025268767029047012,0.2090524137020111,0.07300685532391071,0.11218996345996857,0.11588921025395393,0.18414882151409984,-0.060208172829899584,-1.0
pair_073,112.9524154663086,116.00035095214844,0.02616517743733302,507.1974182128906,410.4206848144531,0.5975162518024445,0.5713510743651115,0.640763409435749,0.7081857975572348,0.5554318577051163,0.5881360620260239,0.5990643274039031,0.3352963663637638,-0.1436606960566988,0.3435109360594021
pair_080,51.88578128814697,58.806833267211914,0.19934023592448893,400.80609130859375,456.5592956542969,0.1928625799715519,-0.006477655952937034,-0.026186257600784302,-0.096684031188488,-0.019313812255859375,-0.03566691279411316,-0.041329096257686604,0.026078246533870697,-0.07961646096066226,0.1223111084044286
pair_083,89.43030166625977,96.55862808227539,0.2046053274528822,452.7062072753906,637.0,0.31238450307399035,0.10777917562110814,0.13166111707687378,0.2493240237236023,0.06660282611846924,0.04336287081241608,0.09385108351707461,0.04406739823753014,-0.075,-1.0
pair_096,147.04811096191406,132.15364837646484,-0.2029425876401365,504.9570617675781,450.858154296875,0.4085420115959057,0.6114845992360423,0.7792573869228363,0.7986858189105988,0.568717747926712,0.7511626929044724,0.6876893401145935,0.2625127490609884,0.043585412256314224,-1.0
pair_098,167.05661010742188,137.02188873291016,-0.06115059390823447,462.76654052734375,641.8773803710938,0.07226545311510563,0.1334160470233401,0.17592405527830124,0.15444444864988327,0.13223006576299667,0.1072269044816494,0.1266716778278351,0.069533821195364,-0.008852549156242118,-1.0
pair_113,115.2989273071289,111.80947875976562,0.5367483645677567,324.0537109375,661.3360595703125,0.5360292235016824,-0.0007191410660742914,-0.022206246852874756,0.020512700080871582,0.03666609525680542,-0.014895081520080566,0.012810945510864258,-0.007781893014907837,-0.03749999999999999,0.37411468476899934
pair_123,106.46270751953125,118.48190307617188,-0.02677222569680824,555.8078918457031,478.8674011230469,0.5321314141510883,0.5589036398478966,0.6428982950747013,0.7229037098586559,0.732663705945015,0.6667856574058533,0.7043604873120785,0.14390491391532123,-0.12827948519972215,0.18432843165400198
pair_128,72.74621200561523,121.86601257324219,0.27634762069269847,379.2415466308594,390.7161560058594,0.26013444006443026,-0.01621318062826821,-0.06028684973716736,-0.030557990074157715,0.01604112982749939,-0.020656466484069824,-0.007957732677459695,0.011580854654312134,-0.05194368026754387,-1.0
pair_132,213.36737060546875,66.09398078918457,-0.013852793384710314,421.4108581542969,605.3756713867188,0.009290946200489996,0.02314373958520031,0.018806152045726776,0.01744312420487404,0.04721741005778313,0.0031269490718841553,0.02362636849284172,-0.017819739878177643,-0.07871323175972941,-1.0
pair_136,258.97389221191406,108.91953659057617,0.11753101621638051,387.043212890625,619.9722290039062,0.20947289478302697,0.09194187856664646,0.13975028693675995,0.035014763474464417,0.035253122448921204,0.10950209945440292,0.06490504145622253,0.08942490082699805,0.060208172829899584,-1.0
pair_137,125.00605010986328,209.0285186767578,0.21174470387735034,415.9643249511719,453.8436279296875,-0.3733847725916598,-0.5851294764690101,-0.782975971698761,-0.8351313769817352,-0.7438851296901703,-0.6127493977546692,-0.7096800863742829,-0.09420423023402691,0.0,0.211053480110566
