pair_id,set_type,gt_found,pool_size,n_hyp,mode_strong,pool_has_correct,best_gterr,raw1_corr,raw1_ctx,raw1_neigh,raw1_grad
pair_037,SetA,1,280,1,0,1,0.48142570647768745,0.8756048679351807,0.8370184421539306,0.5685779601335526,0.7021272778511047
pair_038,SetA,1,280,3,1,1,0.5109644716097187,0.7915728688240051,0.8022421956062318,0.2887359708547592,0.7079534530639648
pair_039,SetA,1,280,1,0,1,0.5414501565099585,0.8713593482971191,0.7888092160224915,0.5052716434001923,0.6549589037895203
pair_040,SetA,1,280,2,0,0,13.409100254403368,0.7394642233848572,0.6690741419792176,0.017846617847681046,0.5880099534988403
pair_041,SetA,1,280,3,0,1,0.18464288854023617,0.9148983359336853,0.8731976509094238,0.622421458363533,0.7296680808067322
pair_042,SetA,1,280,4,1,1,0.424334901975661,0.8316231966018677,0.6549186766147613,0.6188905835151672,0.7398588061332703
pair_043,SetA,1,280,2,1,0,65.62226543805066,0.8737229108810425,0.7149553537368775,0.8414048105478287,0.7081342339515686
pair_044,SetA,1,215,1,1,1,3.924328798774754,0.760347843170166,0.707314670085907,0.4140024334192276,0.5986620783805847
pair_045,SetA,1,280,4,1,1,0.549997988044771,0.8813332319259644,0.7252740263938904,0.4164133295416832,0.7551595568656921
pair_046,SetA,1,280,2,0,0,12.844888903514239,0.7537648677825928,0.39533013105392456,0.414868351072073,0.5861232876777649
pair_047,SetA,1,280,2,0,1,0.32999953408237004,0.8536922335624695,0.8086095333099366,0.6740150600671768,0.6484697461128235
pair_048,SetA,1,280,4,1,1,4.098055251079853,0.7770496010780334,0.49292854070663455,0.5316164493560791,0.5893227458000183
pair_049,SetA,1,280,2,0,1,0.35447447294926504,0.8790343999862671,0.8500574588775636,0.3544451077468693,0.690742015838623
pair_050,SetA,1,280,3,1,1,4.467747894371739,0.8428255915641785,0.5969466030597688,0.69649937748909,0.7295138239860535
pair_051,SetA,1,280,2,0,1,0.4696863523036584,0.8802597522735596,0.7347137331962585,0.33777104248292744,0.7180625796318054
pair_052,SetA,1,280,2,1,1,3.2547122928065284,0.7753689289093018,0.6191961646080018,0.7717843353748322,0.6538254618644714
pair_053,SetA,1,280,2,0,1,0.4417518856238669,0.858035683631897,0.7393188238143922,0.6442073881626129,0.7567027807235718
pair_054,SetA,1,280,3,0,1,0.3048593337118826,0.7575390338897705,0.5117761611938477,0.30100032687187195,0.6490955352783203
pair_055,SetA,1,280,1,0,1,0.46369596079683373,0.8865199685096741,0.7923627138137819,0.5534626394510269,0.7506453394889832
pair_056,SetA,1,278,1,0,0,10.439555593090033,0.8280072212219238,0.7267457842826843,0.14270692877471447,0.6723040342330933
pair_057,SetA,1,266,1,0,1,0.31647427948354695,0.8756587505340576,0.8297083377838135,0.7099875658750534,0.6609126329421997
pair_058,SetA,1,280,2,0,0,8.810059029616196,0.8055020570755005,0.5252869009971619,0.5054600369185209,0.568390965461731
pair_059,SetA,1,194,1,1,1,0.1010568972230651,0.850341796875,0.7366396903991699,0.2933975327759981,0.626067042350769
pair_060,SetA,1,280,2,0,0,8.488920019313378,0.7270288467407227,0.3054886609315872,0.47227904200553894,0.5454347133636475
pair_061,SetA,1,280,1,1,1,0.3515706681079973,0.8623265027999878,0.7754228830337526,0.7136695981025696,0.751619279384613
pair_062,SetA,1,280,3,1,1,4.106229050911329,0.7837134003639221,0.8077083110809327,0.6213031858205795,0.6914319396018982
pair_063,SetA,1,280,2,0,1,0.6042933949573488,0.8842214941978455,0.7293519139289857,0.34240648918785155,0.7204540967941284
pair_064,SetA,1,280,4,1,1,0.3456042905773635,0.798963725566864,0.62989581823349,0.6985322833061218,0.6953414678573608
pair_065,SetA,1,280,4,1,1,0.17947771023021353,0.8831689357757568,0.8043108105659486,0.45667336136102676,0.7551824450492859
pair_066,SetA,1,280,2,1,1,0.20091251620069484,0.7963378429412842,0.7154317021369935,0.7880763709545135,0.7196031212806702
pair_067,SetA,1,280,2,0,1,0.18933611752193316,0.860843300819397,0.822628378868103,0.6955444018046061,0.6700823903083801
pair_068,SetA,1,280,2,0,0,5.510535441834709,0.757724404335022,0.6488183736801147,0.06285881002744038,0.6026384830474854
pair_069,SetA,1,280,2,0,1,0.6121705750699105,0.8804184198379517,0.8610420584678651,0.5690932969252268,0.6222384572029114
pair_070,SetB,1,280,3,1,0,5.453523989466745,0.41456660628318787,0.40740793347358706,0.22809198002020517,0.31324633955955505
pair_071,SetB,1,280,4,1,1,0.1969157821608585,0.8116347193717957,0.7463020324707031,0.4555124267935753,0.5700088739395142
pair_072,SetB,1,266,1,1,1,0.38564167335073185,0.37813660502433777,0.26094149947166445,0.3378263860940933,0.1607469916343689
pair_073,SetB,1,280,2,1,1,0.5433798666598878,0.7544209361076355,0.7190264225006104,0.3643227848224342,0.4820191562175751
pair_074,SetB,1,280,3,1,1,0.06458185961796825,0.5799596309661865,0.5755597710609437,0.5663075745105743,0.3262435793876648
pair_075,SetB,1,280,2,1,0,30.514581765206,0.7008959054946899,0.6468683242797852,0.6420801480611166,0.5075315237045288
pair_076,SetB,1,280,3,1,0,5.546937778976221,0.2580125033855438,0.2168791949748993,0.24035529047250748,0.10713144391775131
pair_077,SetB,1,279,2,0,1,0.7491127141202665,0.7644648551940918,0.6711066365242004,0.5961319506168365,0.5826298594474792
pair_078,SetB,1,280,5,0,1,0.4469091809157674,0.5974829792976379,0.6243250846862793,0.42152003943920135,0.43055838346481323
pair_079,SetB,1,280,1,1,1,0.5475035745803775,0.8040298819541931,0.7607930779457093,0.565021350979805,0.5461017489433289
pair_080,SetB,1,280,2,0,1,0.43270181200988245,0.4620678424835205,0.3764850616455078,0.2990887512763341,0.22503675520420074
pair_081,SetB,1,268,1,0,1,0.1697208768895147,0.7512713074684143,0.6444533526897431,0.6418937146663666,0.4515550434589386
pair_082,SetB,1,280,3,0,0,17.440126099636082,0.5966742038726807,0.5360164761543273,0.07106922194361687,0.32174983620643616
pair_083,SetB,1,280,4,1,1,0.5232616254197971,0.7256238460540771,0.7269440174102784,0.6168850362300873,0.43841683864593506
pair_084,SetB,1,280,6,1,1,0.3839917327157892,0.577567458152771,0.20895938873291017,0.3317491039633751,0.4730972647666931
pair_085,SetB,1,280,3,0,0,12.625112564643318,0.7852240204811096,0.6909241795539856,0.2795880138874054,0.5878862738609314
pair_086,SetB,1,280,3,0,0,51.768436741828964,0.19000475108623505,0.14039755016565325,0.06854039182265599,0.09901917725801468
pair_087,SetB,1,280,1,1,1,0.35974940726065907,0.8283061981201172,0.7236039996147157,0.6558925906817118,0.6163603663444519
pair_088,SetB,1,273,1,1,1,0.35811793522282404,0.5253052711486816,0.4895392537117005,0.38326089829206467,0.4051131010055542
pair_089,SetB,1,280,2,0,1,0.2064131811643376,0.814505398273468,0.7708335995674134,0.36745205521583557,0.6014209389686584
pair_090,SetB,1,280,4,1,1,0.520674180839408,0.47835344076156616,0.48404979705810547,0.2914373017847538,0.37259259819984436
pair_091,SetB,1,280,2,0,0,45.68969667150767,0.7746628522872925,0.6602741479873657,0.6218309849500656,0.621929943561554
pair_092,SetB,1,280,3,0,1,0.23575506796076695,0.5775822997093201,0.5473634958267213,0.3393956422805786,0.4284886121749878
pair_093,SetB,1,256,2,1,1,0.4862669458840429,0.7994011044502258,0.7247713565826417,0.5623377114534378,0.5064334273338318
pair_094,SetB,1,280,4,1,0,77.53530331903549,0.47820916771888733,0.32108024358749393,0.42627857625484467,0.23236799240112305
pair_095,SetB,1,280,2,0,1,0.278223824473799,0.8129181861877441,0.7655484080314636,0.29970881901681423,0.5868149399757385
pair_096,SetB,1,247,1,1,1,0.44483998233501426,0.6140276789665222,0.5012255311012268,0.5222013965249062,0.4337945282459259
pair_097,SetB,1,280,2,1,1,0.48877760099964623,0.7719941735267639,0.7345986008644104,0.7586204806963602,0.4896855652332306
pair_098,SetB,1,280,4,1,1,0.46270007730820867,0.4054003655910492,0.3008196324110031,0.24380307644605637,0.22341233491897583
pair_099,SetB,1,280,2,0,1,0.26492742988386947,0.7442545890808105,0.7140543580055236,0.48283055424690247,0.41690728068351746
pair_100,SetB,1,280,3,1,1,0.4343871138619791,0.6249336004257202,0.5595288097858429,0.415224552154541,0.5026669502258301
pair_101,SetB,1,209,1,1,1,0.4825144287211247,0.723534345626831,0.6663189053535462,0.6510709822177887,0.3895530104637146
pair_102,SetB,1,280,3,1,1,0.33654706836249676,0.582554817199707,0.5796401858329774,0.47075723111629486,0.39324939250946045
pair_103,SetB,1,280,4,0,1,0.22131568973202154,0.7669838070869446,0.7257092356681825,0.3484930023550987,0.4652847647666931
pair_104,SetB,1,280,3,0,0,11.969117184292982,0.3564460873603821,0.3123387277126312,0.2214856967329979,0.17348013818264008
pair_105,SetB,1,280,3,1,1,0.21392838477795845,0.7860528826713562,0.7436591506004334,0.5470385551452637,0.5251710414886475
pair_106,SetB,1,280,4,1,1,0.14898165101886465,0.38550907373428345,0.36262566447257993,0.3315689414739609,0.2436508685350418
pair_107,SetB,1,195,1,1,1,0.3200855269775295,0.7199611067771912,0.6829870820045472,0.699941948056221,0.38761377334594727
pair_108,SetB,1,280,2,0,0,94.54112386768674,0.27554330229759216,0.19163297712802888,0.1800241693854332,0.12920629978179932
pair_109,SetB,1,280,2,1,1,0.49397388479569126,0.7474662661552429,0.6706889629364015,0.3040028978139162,0.4451817274093628
pair_110,SetB,1,280,2,0,0,30.324871640368464,0.5153540372848511,0.13194372057914736,0.0060988739132881165,0.392549067735672
pair_111,SetB,1,280,2,0,1,0.5734421224396048,0.8694707751274109,0.7722864270210267,0.5411779085795084,0.6373846530914307
pair_112,SetB,1,280,4,1,0,192.78119579344343,0.6763973236083984,0.22221501171588898,0.2293933480978012,0.47311046719551086
pair_113,SetB,1,238,2,1,0,15.307356886589094,0.7314243316650391,0.689441227912903,0.6884037554264069,0.44502055644989014
pair_114,SetB,1,280,2,1,1,0.5347024764370714,0.3939513564109802,0.3056001365184784,0.3285856693983078,0.2934376895427704
pair_115,SetB,1,280,2,0,1,0.3080908425932617,0.8096660375595093,0.732802152633667,0.5887274344762167,0.6290406584739685
pair_116,SetB,1,280,4,0,1,0.40631517058832,0.42332014441490173,0.3309258222579956,0.32665298879146576,0.16050110757350922
pair_117,SetB,1,280,2,1,1,0.21973283898319276,0.7818272709846497,0.7035773873329163,0.6812660843133926,0.5781089067459106
pair_118,SetB,1,280,4,1,0,37.47417010270143,0.24798668920993805,0.19958726167678834,0.17410089448094368,0.1260412633419037
pair_119,SetB,1,280,4,1,0,170.69756872458157,0.758903980255127,0.7322195053100586,0.6774172186851501,0.6463174223899841
pair_120,SetB,1,280,6,0,0,10.438787460784175,0.3671374022960663,0.323390519618988,0.23468073084950447,0.15724527835845947
pair_121,SetB,1,280,2,1,0,7.619770738556436,0.7622354626655579,0.6928513288497925,0.20094186812639236,0.6176236867904663
pair_122,SetB,1,280,2,1,1,0.19640367559491972,0.36352139711380005,0.3051200807094574,0.34261494874954224,0.21837443113327026
pair_123,SetB,1,280,2,1,1,0.5072481902248702,0.7955468893051147,0.7316670060157776,0.3338932814076543,0.5383104681968689
pair_124,SetB,1,280,4,0,0,22.358649109702167,0.6017650365829468,0.3944525599479676,0.2509866142645478,0.34314867854118347
pair_125,SetB,1,280,4,1,1,0.2933054029023236,0.806016206741333,0.730586302280426,0.6121253172556559,0.527143657207489
pair_126,SetB,1,280,4,0,1,0.2307793969874171,0.32129594683647156,0.3230690538883209,0.247345969080925,0.0819011926651001
pair_127,SetB,1,280,2,0,0,6.020495623245533,0.6960128545761108,0.6678935647010803,0.46078024059534073,0.45531532168388367
pair_128,SetB,1,266,3,1,1,0.42568444868142624,0.525168776512146,0.3498154103755951,0.42248035967350006,0.3351289927959442
pair_129,SetB,1,250,2,0,1,0.3580276258020229,0.7669628262519836,0.7338543176651,0.48373109102249146,0.3681776821613312
pair_130,SetB,1,280,3,1,1,0.486580005421355,0.4056612551212311,0.3279022216796875,0.3376760184764862,0.16093596816062927
pair_131,SetB,1,280,3,1,1,0.2144513298699704,0.7396441698074341,0.6648915529251098,0.3652848731726408,0.4747200608253479
pair_132,SetB,1,280,4,0,1,4.351625717088641,0.1986047923564911,0.05626756269484759,0.13287015818059444,0.08431421220302582
pair_133,SetB,1,280,2,0,1,0.4237567681768715,0.801988959312439,0.7012827873229981,0.4382711797952652,0.5717186331748962
pair_134,SetB,1,280,4,0,0,173.70838723605718,0.6121688485145569,0.3888968646526337,0.351726695895195,0.4637454152107239
pair_135,SetB,1,280,2,1,1,0.5020447723683664,0.7872605323791504,0.6815875053405762,0.6584026217460632,0.47167542576789856
pair_136,SetB,1,280,2,1,1,3.4683097027514393,0.5131619572639465,0.3764635503292084,0.4121755287051201,0.33777642250061035
pair_137,SetB,1,280,2,1,0,32.2861203101076,0.6692336201667786,0.583843195438385,0.550678513944149,0.37201380729675293
pair_138,SetB,1,280,2,1,0,160.88157798949297,0.4499547779560089,0.32006483078002934,0.29204609245061874,0.3096790611743927
pair_139,SetB,1,280,3,0,1,0.4930703095079857,0.8034994006156921,0.7161789417266846,0.7968045771121979,0.5713062286376953
pair_140,SetC,0,280,4,1,0,1000000000.0,0.7690678834915161,0.5697802960872651,0.46967998892068863,0.6801655292510986
pair_141,SetC,0,280,2,1,0,1000000000.0,0.8704266548156738,0.8286033272743225,0.7485431134700775,0.7166016101837158
pair_142,SetC,0,280,6,1,0,1000000000.0,0.33526939153671265,0.24640536904335025,0.2578403055667877,0.07761210203170776
pair_143,SetC,0,280,3,1,0,1000000000.0,0.754288375377655,0.6624606966972351,0.7252970139185587,0.39192095398902893
pair_144,SetC,0,280,2,1,0,1000000000.0,0.5719181299209595,0.596825909614563,0.48947200179100037,0.35405412316322327
pair_145,SetC,0,280,4,0,0,1000000000.0,0.8429012894630432,0.7502079248428345,0.4272883137067159,0.5219440460205078
pair_146,SetC,0,250,1,1,0,1000000000.0,0.7095461487770081,0.558921468257904,0.6595544219017029,0.6027815937995911
pair_147,SetC,0,259,1,0,0,1000000000.0,0.8833908438682556,0.8530635714530945,0.5537160038948059,0.6132069826126099
pair_148,SetC,0,189,1,1,0,1000000000.0,0.8127408027648926,0.6542849063873292,0.4863443970680237,0.7481704950332642
pair_149,SetC,0,280,1,1,0,1000000000.0,0.7774971127510071,0.7426213860511781,0.5502289781967798,0.5365086197853088
pair_150,SetC,0,280,3,1,0,1000000000.0,0.8082779049873352,0.6096733331680299,0.21063919086009264,0.7310992479324341
pair_151,SetC,0,280,4,0,0,1000000000.0,0.7070006132125854,0.6451203346252442,0.6205865343411764,0.46012434363365173
pair_152,SetC,0,280,4,0,0,1000000000.0,0.7551823854446411,0.5273442447185517,0.19337761029601097,0.627914547920227
pair_153,SetC,0,280,4,0,0,1000000000.0,0.7435669898986816,0.6650266051292419,0.4705410748720169,0.43976348638534546
pair_154,SetC,0,280,4,0,0,1000000000.0,0.7398608922958374,0.6314526081085206,0.294844675809145,0.5647704601287842
pair_155,SetC,0,280,2,0,0,1000000000.0,0.749243974685669,0.6959624648094178,0.5563283860683441,0.4608040153980255
pair_156,SetC,0,218,1,1,0,1000000000.0,0.5155097842216492,0.2233014687895775,0.3979355990886688,0.14413511753082275
pair_157,SetC,0,280,2,0,0,1000000000.0,0.8794530630111694,0.8320990204811097,0.7549239546060562,0.7163660526275635
pair_158,SetC,0,211,2,1,0,1000000000.0,0.7769500613212585,0.5510975480079651,0.5020554959774017,0.6208436489105225
pair_159,SetC,0,280,1,0,0,1000000000.0,0.7962014079093933,0.7297356486320496,0.63975390791893,0.5508713126182556
pair_160,SetC,0,280,2,0,0,1000000000.0,0.714163601398468,0.36137178540229803,0.1653934046626091,0.5503458380699158
pair_161,SetC,0,270,1,0,0,1000000000.0,0.8056055903434753,0.6981624603271483,0.6450516482194265,0.5352141857147217
pair_162,SetC,0,280,4,1,0,1000000000.0,0.7894295454025269,0.7245514512062073,0.6756983995437622,0.665621817111969
pair_163,SetC,0,280,4,0,0,1000000000.0,0.8630561828613281,0.8174355149269106,0.7378062754869461,0.6936236619949341
pair_164,SetC,0,280,1,0,0,1000000000.0,0.764898419380188,0.6543838143348695,0.5209419503808022,0.608359158039093
pair_165,SetC,0,280,2,0,0,1000000000.0,0.8777697086334229,0.8491296529769897,0.49173492193222046,0.6713445782661438
pair_166,SetC,0,280,4,0,0,1000000000.0,0.44135281443595886,0.28321133740246296,0.23805185159047446,0.2416713982820511
pair_167,SetC,0,239,1,1,0,1000000000.0,0.9064981341362,0.8725469112396241,0.6838114062945048,0.7222117185592651
pair_168,SetC,0,280,4,0,0,1000000000.0,0.7694310545921326,0.612863039970398,0.2310289777815342,0.5670264959335327
pair_169,SetC,0,280,2,0,0,1000000000.0,0.8805844187736511,0.7461981415748595,0.4452220257371664,0.7114155888557434
pair_170,SetC,0,280,4,0,0,1000000000.0,0.4166882038116455,0.2846732258796692,0.3766933083534241,0.19712750613689423
pair_171,SetC,0,269,2,0,0,1000000000.0,0.877480149269104,0.858212423324585,0.5089917480945587,0.5789640545845032
pair_172,SetC,0,280,3,1,0,1000000000.0,0.769604504108429,0.6249561667442322,0.6207896173000336,0.6263318061828613
pair_173,SetC,0,199,1,1,0,1000000000.0,0.7156067490577698,0.6751385688781739,0.4572163869937261,0.3858499526977539
pair_174,SetC,0,280,3,0,0,1000000000.0,0.6258437037467957,0.4326348602771759,0.11463819129858166,0.36870843172073364
pair_175,SetC,0,254,1,0,0,1000000000.0,0.722265362739563,0.5994035840034485,0.5844812095165253,0.47446513175964355
pair_176,SetC,0,280,1,1,0,1000000000.0,0.4763804078102112,0.4605930089950562,0.38713590800762177,0.2818862497806549
pair_177,SetC,0,280,3,1,0,1000000000.0,0.7467710971832275,0.6723132371902466,0.5460609793663025,0.5059272050857544
pair_178,SetC,0,257,1,1,0,1000000000.0,0.2734096646308899,0.1740766676142812,0.25681817904114723,0.1517544686794281
pair_179,SetC,0,280,2,0,0,1000000000.0,0.7565662264823914,0.712949299812317,0.47698821624120075,0.4953679144382477
